Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ZNF571		4	4	723	0.6%	No
PLCZ1		14	11	1454	0.8%	No
IER5		3	3	338	0.9%	No
DNAJC27		5	5	845	0.6%	No
PRKACA		7	7	1238	0.6%	Yes
SEC16B		15	14	1238	1.1%	No
TAT		3	3	187	1.6%	No
MFAP1		9	7	1519	0.5%	No
C1RL		7	7	925	0.8%	No
TARS1		6	6	729	0.8%	No
TCEAL8		1	1	239	0.4%	No
PRKACB		4	4	395	1.0%	No
PRKACG		7	6	632	0.9%	No
MFAP3		2	2	290	0.7%	No
TBX1		2	2	222	0.9%	No
MFAP4		2	2	419	0.5%	No
PRKCD		2	2	316	0.6%	No
DYNC2I2		5	5	395	1.3%	No
PRKCE		16	15	1748	0.9%	No
KBTBD6		3	3	519	0.6%	No
SCGB2A2		2	2	338	0.6%	No
PRKCG		11	9	902	1.0%	No
PRKCH		9	9	1332	0.7%	No
MIA2		21	20	1554	1.3%	No
PRKCI		9	9	975	0.9%	Yes
KITLG		3	3	629	0.5%	No
PKN1		2	2	629	0.3%	No
PKN2		5	5	729	0.7%	No
MGMT		4	4	868	0.5%	No
GIGYF1		6	6	1019	0.6%	No
PRKD1		16	14	1944	0.7%	Yes
MOSPD3		2	2	697	0.3%	No
ANKMY1		11	10	1265	0.8%	No
GOLM1		5	4	369	1.1%	No
BFAR		4	4	1116	0.4%	No
RASL12		2	2	629	0.3%	No
TLR7		17	17	1619	1.1%	No
COA4		3	3	962	0.3%	No
CEND1		3	3	179	1.7%	No
RXFP3		5	5	877	0.6%	No
SCGB2A1		3	3	470	0.6%	No
PRKAR2B		4	4	629	0.6%	No
PRKCA		10	9	799	1.1%	No
MGAT2		3	3	338	0.9%	No
PRKCB		13	13	1554	0.8%	No
MGAT3		1	1	507	0.2%	No
MGAT5		8	8	1116	0.7%	No
PRKDC		41	39	1584	2.5%	Yes
CIITA		12	12	1454	0.8%	Yes
PRKG1		7	7	1204	0.6%	No
PRKG2		12	11	919	1.2%	No
DMAC1		1	1	122	0.8%	No
MAPK1		16	14	2219	0.6%	Yes
MAPK3		4	4	998	0.4%	Yes
MAPK4		7	7	1013	0.7%	No
MAPK6		5	5	1216	0.4%	No
CD99		6	6	1143	0.5%	No
MAPK7		5	4	757	0.5%	No
ZNF697		3	3	645	0.5%	No
GMPR2		1	1	507	0.2%	No
PRKCZ		4	4	966	0.4%	No
GMIP		9	9	1124	0.8%	No
PCDH12		10	10	1315	0.8%	No
CD320		1	1	216	0.5%	No
SLC15A3		3	3	338	0.9%	No
ECSIT		5	5	528	0.9%	No
THEG		5	5	884	0.6%	No
BPIFA1		2	1	180	0.6%	No
NRN1		1	1	216	0.5%	No
PRKCQ		12	12	1494	0.8%	No
IL33		5	5	1062	0.5%	No
ZNF628		6	6	577	1.0%	No
PRKCSH		4	4	815	0.5%	No
SLAMF9		6	6	999	0.6%	No
MGST3		2	2	312	0.6%	No
FATE1		6	6	1116	0.5%	No
LHX4		2	2	629	0.3%	No
TPD52L3		1	1	122	0.8%	No
MICB		1	1	122	0.8%	No
RD3L		1	1	122	0.8%	No
MAPK8		7	7	1084	0.6%	No
TVP23C-CDRT4		1	1	30	3.3%	No
MIF		2	2	57	3.5%	No
CXCL9		1	1	216	0.5%	No
MIP		1	1	216	0.5%	No
MIPEP		2	2	100	2.0%	No
MITF		9	9	1450	0.6%	Yes
ATXN3		8	8	825	1.0%	No
MKI67		29	27	1619	1.7%	Yes
MKLN1		5	5	745	0.7%	No
MID1		15	14	1554	0.9%	No
MAP3K9		8	7	1035	0.7%	No
MAP3K10		14	14	1352	1.0%	No
MLN		2	2	312	0.6%	No
MAP3K11		13	10	1454	0.7%	No
KMT2A		56	51	2515	2.0%	Yes
ADAD1		5	4	962	0.4%	No
AFF1		23	18	1454	1.2%	Yes
USP41		2	2	419	0.5%	No
MLH1		19	17	2262	0.8%	Yes
RIPPLY3		2	2	746	0.3%	No
FXYD5		8	8	1238	0.6%	No
FXYD4		1	1	100	1.0%	No
P2RY13		7	7	907	0.8%	No
GMEB2		8	8	1047	0.8%	No
ZFP42		6	5	875	0.6%	No
PITPNC1		4	4	919	0.4%	No
SPAG8		5	4	365	1.1%	No
IL20RB		3	3	338	0.9%	No
FGFRL1		3	3	746	0.4%	No
GPR84		5	5	1116	0.4%	No
IL20RA		2	2	338	0.6%	No
C11ORF24		8	5	731	0.7%	No
GPR87		5	5	731	0.7%	No
C12ORF60		3	3	471	0.6%	No
NUP43		2	2	304	0.7%	No
IGLJ3		1	1	180	0.6%	No
TRIM34		2	2	180	1.1%	No
CDHR5		5	5	845	0.6%	No
TMCO5A		3	2	338	0.6%	No
SPATA8		2	2	370	0.5%	No
CLDN22		1	1	122	0.8%	No
DND1		2	2	687	0.3%	No
HCN1		26	20	1649	1.2%	No
CAMSAP1		12	12	1274	0.9%	No
BIVM-ERCC5		4	4	216	1.9%	No
CPEB1		11	11	1040	1.1%	No
TEKT3		4	3	338	0.9%	No
OR51A7		8	8	1084	0.7%	No
ZDHHC2		3	3	723	0.4%	No
CPA4		5	5	1084	0.5%	No
NUSAP1		3	3	723	0.4%	No
DDX47		2	2	316	0.6%	No
ACP6		3	3	877	0.3%	No
TACO1		1	1	100	1.0%	No
DUSP13		4	4	1116	0.4%	No
GP6		7	7	972	0.7%	No
OR51L1		1	1	122	0.8%	No
RAB9B		3	3	697	0.4%	No
CLDN18		2	2	216	0.9%	No
IGLV1-50		3	3	419	0.7%	No
IGLV1-40		2	1	30	3.3%	No
OR52E2		3	2	338	0.6%	No
OR52J3		3	3	913	0.3%	No
PPP1R3F		12	10	872	1.1%	No
LUZP4		3	3	723	0.4%	No
TAFA1		1	1	216	0.5%	No
NKAIN3		2	2	312	0.6%	No
PPP1R42		4	4	674	0.6%	No
KHDC1L		1	1	65	1.5%	No
ZNF474		1	1	100	1.0%	No
TCTE1		9	9	945	1.0%	No
ZNF219		6	6	528	1.1%	No
ABI3		1	1	507	0.2%	No
ELOA2		7	7	1123	0.6%	No
CHRFAM7A		1	1	239	0.4%	No
PIGP		1	1	216	0.5%	No
COPZ2		1	1	216	0.5%	No
CD300LD		5	4	528	0.8%	No
PHF20		11	8	1374	0.6%	No
PIP4P1		2	1	180	0.6%	No
CRIM1		10	10	1339	0.7%	No
VRK3		6	6	1238	0.5%	No
EMC4		4	4	639	0.6%	No
DRICH1		1	1	507	0.2%	No
KCNK17		2	2	396	0.5%	No
NIPAL4		5	5	1025	0.5%	No
MZB1		2	2	370	0.5%	No
ANKRD39		3	3	609	0.5%	No
ANGEL2		8	8	1321	0.6%	No
SLC6A18		8	8	1274	0.6%	No
SGSM1		20	19	1295	1.5%	No
ZPLD1		6	6	723	0.8%	No
SNRNP48		1	1	507	0.2%	No
ANO5		15	14	1330	1.1%	No
PLA2G2D		3	3	845	0.4%	No
SPIN3		1	1	122	0.8%	No
FBXO4		4	4	819	0.5%	No
ANKRD24		9	9	1454	0.6%	No
FBXO5		1	1	507	0.2%	No
ZNF721		8	8	1238	0.6%	No
FBXO3		4	4	729	0.5%	No
VPS33B		3	3	723	0.4%	No
HIBCH		6	6	1252	0.5%	No
SACS		38	34	1611	2.1%	No
TINF2		3	3	635	0.5%	No
FBXO6		3	3	797	0.4%	No
LYZL4		2	2	723	0.3%	No
DOCK8-AS1		3	3	635	0.5%	No
KLHL40		4	4	664	0.6%	No
ZNF431		8	8	1238	0.6%	No
ZNF525		2	2	152	1.3%	No
CLDN17		7	7	1238	0.6%	No
TENT5D		7	6	947	0.6%	No
ANKRD2		2	2	629	0.3%	No
PPP1R18		2	2	217	0.9%	No
ARFGAP3		3	3	788	0.4%	No
AK5		5	5	936	0.5%	No
FGF20		2	2	419	0.5%	No
IL1RAPL2		4	4	823	0.5%	No
NKX2-8		3	3	216	1.4%	No
FBXW8		7	7	1238	0.6%	No
KCNG2		7	7	1280	0.5%	No
BMPER		8	8	1084	0.7%	No
OPTC		2	2	187	1.1%	No
CLEC4E		7	6	1238	0.5%	No
CABYR		4	4	1058	0.4%	No
FBXL14		2	2	239	0.8%	No
FBXO8		3	3	412	0.7%	No
FBXO9		2	2	122	1.6%	No
KHDRBS2		7	6	1238	0.5%	No
CACUL1		5	5	686	0.7%	No
FBXO24		5	5	1026	0.5%	No
FBXO25		5	5	913	0.5%	No
FBXO22		4	4	744	0.5%	No
OR51F2		3	3	729	0.4%	No
SLC16A13		5	5	1142	0.4%	No
TSPAN17		4	4	962	0.4%	No
OR52R1		2	2	629	0.3%	No
FBXO10		3	3	913	0.3%	No
SLC13A4		5	5	868	0.6%	No
C10ORF82		1	1	216	0.5%	No
MS4A13		3	3	338	0.9%	No
OR51S1		4	3	338	0.9%	No
FAM168B		1	1	122	0.8%	No
EMID1		6	6	1454	0.4%	No
FBXL4		4	4	629	0.6%	No
LCE2B		4	4	962	0.4%	No
IGKV1D-43		2	2	419	0.5%	No
TIAM2		23	20	1611	1.2%	No
SPEM2		4	2	629	0.3%	No
FBXO2		1	1	507	0.2%	No
FBXL9P		1	1	507	0.2%	No
FBXL5		4	4	1084	0.4%	No
FBXL6		8	8	1301	0.6%	No
LIN54		10	10	1332	0.8%	No
OR2L2		13	12	1432	0.8%	No
KLHL3		8	8	1012	0.8%	No
OR2K2		2	2	290	0.7%	No
LRRC45		5	5	1084	0.5%	No
FAM50B		2	2	122	1.6%	No
OR2M4		1	1	122	0.8%	No
TMEM9		2	2	697	0.3%	No
SPATA18		5	5	1149	0.4%	No
ACMSD		2	2	216	0.9%	No
IGKV2D-40		2	2	419	0.5%	No
OR1J4		5	5	1264	0.4%	No
IGKV6D-21		2	2	370	0.5%	No
SLC39A11		1	1	122	0.8%	No
IGKV3D-20		5	5	1116	0.4%	No
OR2B6		4	4	370	1.1%	No
OR2F1		7	6	1048	0.6%	No
ICA1L		4	4	788	0.5%	No
ARL5A		2	2	607	0.3%	No
FBXL3		4	4	945	0.4%	No
PHGDH		3	3	367	0.8%	No
B3GAT3		4	3	629	0.5%	No
STAP1		4	4	845	0.5%	No
IGKV2D-30		1	1	180	0.6%	No
IGKV2D-26		2	1	239	0.4%	No
PPDPFL		1	1	216	0.5%	No
SERPINA7		4	4	1142	0.4%	No
FAM153B		7	7	609	1.1%	No
TBCE		13	13	1511	0.9%	No
TBP		9	8	1274	0.6%	No
TBL1X		12	12	1454	0.8%	No
CNTN2		14	13	1099	1.2%	No
TBCA		1	1	190	0.5%	No
TAFAZZIN		3	3	528	0.6%	No
TBCD		14	13	1152	1.1%	No
TBCC		11	11	1454	0.8%	No
MMS22L		9	9	1454	0.6%	No
TCEA1		6	6	1116	0.5%	Yes
TBXAS1		8	8	1519	0.5%	No
TCEA2		3	3	361	0.8%	No
TBX6		2	2	629	0.3%	No
TBX5		16	12	1454	0.8%	No
TBX15		9	8	1274	0.6%	No
TBXA2R		2	2	149	1.3%	No
WASHC2C		8	8	1265	0.6%	No
HNF1B		7	7	1338	0.5%	No
HNF1A		14	14	1572	0.9%	Yes
TCF3		6	6	941	0.6%	Yes
RANBP3L		3	3	962	0.3%	No
TCEA3		11	8	1362	0.6%	No
ELOC		1	1	122	0.8%	Yes
ELOA		13	12	1173	1.0%	No
ELOB		2	2	406	0.5%	No
TBX3		184	170	2811	6.0%	Yes
TCF4		14	14	1303	1.1%	No
ZNF354A		1	1	100	1.0%	No
ERVMER34-1		5	5	1035	0.5%	No
MAP2K5		5	5	823	0.6%	No
TCF15		1	1	122	0.8%	No
TCF12		20	19	1549	1.2%	Yes
MAP2K6		1	1	216	0.5%	No
MAP2K7		11	10	1141	0.9%	No
MAPK10		4	4	1058	0.4%	No
TCF7		4	4	564	0.7%	No
ZEB1		11	11	1200	0.9%	No
MAPK13		4	4	767	0.5%	No
MAP2K1		11	11	2041	0.5%	Yes
TCF7L2		4	4	723	0.6%	Yes
MAP2K2		12	12	1434	0.8%	Yes
MAP2K3		4	4	1142	0.4%	No
GCFC2		2	2	338	0.6%	No
PRM2		1	1	27	3.7%	No
TCP1		2	2	338	0.6%	No
CCDC138		12	12	1238	1.0%	No
PRLR		8	8	1295	0.6%	No
TCOF1		10	10	1554	0.6%	No
PRM1		1	1	122	0.8%	No
TCF20		18	17	1454	1.2%	No
EIF2AK2		6	6	503	1.2%	No
DNAJC3		4	4	846	0.5%	No
TCF19		1	1	507	0.2%	No
VPS72		6	6	819	0.7%	No
THAP12		5	5	507	1.0%	No
PRKX		4	4	895	0.4%	No
TCF21		4	4	1084	0.4%	No
AGO4		7	7	888	0.8%	No
MLX		2	2	406	0.5%	No
TCN2		2	2	697	0.3%	No
PRL		3	3	179	1.7%	No
TCN1		3	3	845	0.4%	No
TRBV20OR9-2		3	3	419	0.7%	No
PRPH		1	1	122	0.8%	No
MLLT3		3	3	913	0.3%	Yes
BBS12		4	4	577	0.7%	No
SPATA5		2	2	338	0.6%	No
PROX1		23	18	1338	1.3%	No
TCP10L3		12	9	831	1.1%	No
PROC		5	5	1025	0.5%	No
TCP11		10	9	1116	0.8%	No
PRODH		4	3	273	1.1%	No
TRAV6		1	1	190	0.5%	No
PROP1		3	3	845	0.4%	No
PROS1		7	6	1084	0.6%	No
TRBV21OR9-2		1	1	30	3.3%	No
SCAMP5		3	3	216	1.4%	No
WDR27		4	4	338	1.2%	No
LGMN		3	3	645	0.5%	No
MME		5	4	338	1.2%	No
ADGRF3		7	7	1274	0.5%	No
AFDN		36	34	1843	1.8%	Yes
EBF3		6	5	581	0.9%	No
MLLT6		6	6	555	1.1%	Yes
FOXO4		11	9	1215	0.7%	Yes
TRGC1		1	1	239	0.4%	No
PRPS2		1	1	507	0.2%	No
PRPSAP1		1	1	239	0.4%	No
PRPSAP2		2	2	723	0.3%	No
NR3C2		21	19	1611	1.2%	No
TRGC2		1	1	190	0.5%	No
PRRG1		3	3	122	2.5%	No
TRPM1		21	18	1112	1.6%	No
PRRG2		1	1	122	0.8%	No
KLK7		2	2	746	0.3%	No
TMPRSS15		24	22	1554	1.4%	No
MMP11		3	3	936	0.3%	No
MMP12		1	1	100	1.0%	No
PRSS8		4	4	945	0.4%	Yes
MMP13		6	6	910	0.7%	No
KLK6		2	2	629	0.3%	No
KRT24		9	9	796	1.1%	No
AGO3		8	8	1135	0.7%	No
MMP1		5	4	618	0.6%	No
DAB2IP		9	9	1127	0.8%	No
MMP2		7	7	781	0.9%	No
PRSS1		2	2	429	0.5%	Yes
MMP3		12	12	1454	0.8%	No
PRSS2		1	1	100	1.0%	No
TRGV4		1	1	190	0.5%	No
PRSS3		3	3	419	0.7%	No
MMP7		2	2	406	0.5%	No
MASP1		13	12	1429	0.8%	No
MMP8		9	9	1339	0.7%	No
MMP9		5	5	1181	0.4%	No
RELN		55	41	1676	2.4%	Yes
MMP10		3	3	809	0.4%	No
DYNLT2		1	1	216	0.5%	No
DYNLT3		1	1	507	0.2%	No
MN1		8	8	1238	0.6%	Yes
PSD		16	16	1331	1.2%	No
MNAT1		1	1	507	0.2%	No
PSEN1		5	5	1048	0.5%	No
MNDA		4	4	727	0.6%	No
PSEN2		11	11	1454	0.8%	No
GZMA		4	4	903	0.4%	No
GUCY2D		6	5	1148	0.4%	No
MBTPS2		9	9	1338	0.7%	No
CDC40		8	8	982	0.8%	No
HOOK1		10	10	1034	1.0%	No
ZMYND10		9	8	825	1.0%	No
CHST15		7	7	731	1.0%	No
UBR5		36	35	1970	1.8%	Yes
DPH6		1	1	180	0.6%	No
PLA1A		6	6	1238	0.5%	No
HTRA1		4	4	825	0.5%	No
TEX264		7	7	1554	0.5%	No
MMP14		7	7	1062	0.7%	No
MMP15		5	5	1142	0.4%	No
KLK10		4	4	492	0.8%	No
POP5		2	2	607	0.3%	No
MMP16		19	16	1554	1.0%	No
ADCK2		2	2	419	0.5%	No
TCTA		1	1	27	3.7%	No
MMP17		5	5	845	0.6%	No
PRTN3		2	2	216	0.9%	No
MMP19		3	3	727	0.4%	No
DHX57		5	5	926	0.5%	No
ALDH6A1		4	4	438	0.9%	No
RSPRY1		1	1	122	0.8%	No
PSG2		3	3	419	0.7%	No
PSG3		4	4	809	0.5%	No
ANAPC1		10	9	1554	0.6%	No
PSG4		4	4	877	0.5%	No
MOS		6	6	1332	0.5%	No
PSG5		7	6	890	0.7%	No
CAVIN4		2	2	370	0.5%	No
MOV10		7	7	1332	0.5%	No
ESAM		2	2	507	0.4%	No
PSG6		8	8	1093	0.7%	No
H2AC7		4	4	845	0.5%	No
GORASP1		3	3	152	2.0%	No
H2AC8		1	1	507	0.2%	No
H1-6		4	4	572	0.7%	No
POMP		3	3	609	0.5%	No
H1-5		3	3	507	0.6%	Yes
H1-4		5	4	903	0.4%	Yes
H1-3		4	4	794	0.5%	Yes
H1-2		18	18	1708	1.1%	Yes
SNX7		7	7	1084	0.6%	No
ATRAID		2	2	746	0.3%	No
UCHL5		3	3	845	0.4%	No
GZMM		3	3	629	0.5%	No
GZMK		4	3	845	0.4%	No
CRLF3		4	4	492	0.8%	No
TDGF1		2	2	537	0.4%	No
ANGPT4		14	13	1454	0.9%	No
MNT		6	5	551	0.9%	No
TDG		2	2	429	0.5%	No
MOBP		2	2	302	0.7%	No
TDO2		5	5	435	1.1%	No
MOCS1		3	2	122	1.6%	No
PSG1		8	8	1216	0.7%	No
PSG11		7	7	1238	0.6%	No
PSKH1		6	6	1090	0.6%	No
PSMA1		4	4	1116	0.4%	No
MPI		6	4	273	1.5%	No
CTAGE1		6	6	1035	0.6%	No
PSMA2		5	5	773	0.6%	No
MPL		5	5	832	0.6%	Yes
MPO		10	9	1033	0.9%	No
PSMA3		5	5	823	0.6%	No
MPP1		4	4	1152	0.3%	No
PSMA4		1	1	190	0.5%	No
MPP2		6	6	1060	0.6%	No
PSMA5		4	3	629	0.5%	No
TMPRSS3		5	5	528	0.9%	No
H3-3B		6	6	1040	0.6%	Yes
H3-3A		2	2	406	0.5%	Yes
EML2-AS1		1	1	122	0.8%	No
CSAD		5	5	692	0.7%	No
ATP6V1D		4	4	609	0.7%	No
WNT16		5	5	651	0.8%	No
H2BC3		5	4	903	0.4%	No
H2BC5		7	7	911	0.8%	Yes
EIF3L		4	4	845	0.5%	No
ZNF589		3	3	537	0.6%	No
H2AZ1		4	4	1116	0.4%	No
NIP7		1	1	216	0.5%	No
H2AX		2	2	122	1.6%	No
PSG7		1	1	180	0.6%	No
CD200		2	2	338	0.6%	No
RWDD1		4	4	222	1.8%	No
PSG9		1	1	507	0.2%	No
MRC1		5	5	797	0.6%	No
PSMB3		3	3	338	0.9%	No
MRE11		7	7	1690	0.4%	Yes
PSMB4		4	4	639	0.6%	No
PSMB5		5	5	522	1.0%	No
ABCC1		16	16	1511	1.1%	No
IGFBPL1		4	4	731	0.5%	No
PSMB6		4	4	746	0.5%	No
PSMB7		2	2	222	0.9%	No
PSMB8		4	4	919	0.4%	No
PYY		1	1	180	0.6%	No
HARS1		8	8	1047	0.8%	No
HAL		7	7	1121	0.6%	No
HADH		3	3	913	0.3%	No
HADHB		3	3	913	0.3%	No
HADHA		3	3	609	0.5%	No
AIG1		5	5	866	0.6%	No
TRPV2		11	10	1215	0.8%	No
HAGH		2	2	338	0.6%	No
HSD17B10		6	6	1454	0.4%	No
COMMD10		1	1	239	0.4%	No
CERS6		1	1	507	0.2%	No
HABP2		7	6	1120	0.5%	No
TRAPPC4		1	1	122	0.8%	No
WDR83OS		3	3	936	0.3%	No
PSMA6		4	4	1116	0.4%	No
MPP3		3	3	629	0.5%	No
PSMA7		3	3	609	0.5%	No
MPST		1	1	122	0.8%	No
MPV17		1	1	122	0.8%	No
MPZ		2	2	302	0.7%	No
KIF24		9	9	1454	0.6%	No
NUP35		3	3	729	0.4%	No
HBE1		2	2	222	0.9%	No
HBD		2	2	312	0.6%	No
HBA2		3	3	609	0.5%	No
ZNF568		15	12	1315	0.9%	No
HBA1		1	1	239	0.4%	No
HAS3		3	3	746	0.4%	No
B3GNT8		4	4	1116	0.4%	No
HAS2		6	6	788	0.8%	No
HAS1		5	5	686	0.7%	No
PSMB9		1	1	122	0.8%	No
PSMB10		3	3	519	0.6%	No
KIFC2		7	7	1035	0.7%	No
CREB3L1		8	7	1338	0.5%	Yes
HCK		9	9	1454	0.6%	No
HCFC1		21	20	1554	1.3%	No
SERPIND1		5	5	975	0.5%	No
USP17L10		1	1	122	0.8%	No
HCCS		3	3	586	0.5%	No
ZNF488		5	5	751	0.7%	No
ZNF251		12	12	1389	0.9%	No
HCRT		5	5	461	1.1%	No
ZSWIM9		2	2	338	0.6%	No
HDGF		2	2	122	1.6%	No
ZNF773		3	3	471	0.6%	No
HDC		2	2	187	1.1%	No
HDAC2		5	5	629	0.8%	No
HDAC1		10	10	1347	0.7%	Yes
HTT		25	24	1519	1.6%	No
HCRTR2		9	9	1216	0.7%	No
HCRTR1		6	6	1332	0.5%	No
HCLS1		9	8	1454	0.6%	No
NCKAP1L		17	15	1584	0.9%	No
HELLS		11	8	1004	0.8%	No
SERPINE3		5	5	1116	0.4%	No
CFHR1		6	6	1274	0.5%	No
HFE		4	4	845	0.5%	No
CFH		22	21	1519	1.4%	No
HEXB		4	4	845	0.5%	No
HEXA		3	3	255	1.2%	No
IGFL1		1	1	216	0.5%	No
HDLBP		15	14	1581	0.9%	No
HGF		8	8	1549	0.5%	Yes
GEN1		2	2	316	0.6%	No
HGD		7	7	1092	0.6%	No
CFHR2		6	6	845	0.7%	No
PPIL3		1	1	122	0.8%	No
ACAD9		6	6	1238	0.5%	No
MRPL42		1	1	100	1.0%	No
C19ORF53		1	1	507	0.2%	No
HHEX		1	1	122	0.8%	No
NRG1		7	7	1093	0.6%	Yes
HGFAC		9	7	845	0.8%	No
PSTK		1	1	507	0.2%	No
SPCS1		2	2	406	0.5%	No
MRPS18B		5	5	936	0.5%	No
FTHL17		4	4	767	0.5%	No
C11ORF54		4	4	709	0.6%	No
AAMDC		3	3	247	1.2%	No
CSNK1G1		1	1	180	0.6%	No
CNTN5		13	13	1431	0.9%	No
A4GALT		2	2	723	0.3%	No
UBE2K		1	1	190	0.5%	No
HIP1		12	12	1519	0.8%	Yes
HIF1A		8	7	967	0.7%	Yes
HIC1		5	4	338	1.2%	No
VPS16		9	8	1155	0.7%	No
NOB1		5	5	1217	0.4%	No
DBNL		1	1	100	1.0%	No
PLA2G2F		2	2	629	0.3%	No
C4ORF36		2	2	507	0.4%	No
HK2		9	9	947	1.0%	No
MCTS1		2	2	572	0.3%	No
HK1		13	13	1611	0.8%	No
MAGEH1		3	3	723	0.4%	No
HIVEP2		18	17	1619	1.1%	No
HIVEP1		29	24	1554	1.5%	No
NTMT1		1	1	100	1.0%	No
BTBD16		3	3	377	0.8%	No
UBQLNL		3	2	122	1.6%	No
TMPRSS11E		6	6	1114	0.5%	No
IFT81		5	5	1264	0.4%	No
LRRC37A3		14	14	1403	1.0%	No
FLVCR1		4	4	845	0.5%	No
TMEM150A		2	2	697	0.3%	No
REM1		4	4	845	0.5%	No
UROC1		5	5	947	0.5%	No
CCDC22		7	7	1047	0.7%	No
KRTAP21-2		2	2	370	0.5%	No
TMEM176B		2	2	338	0.6%	No
LAMTOR2		6	6	1181	0.5%	No
KRTAP20-2		1	1	216	0.5%	No
KRTAP20-3		1	1	507	0.2%	No
TRIB2		1	1	507	0.2%	No
TIMMDC1		6	6	1142	0.5%	No
CYP39A1		5	5	825	0.6%	No
UBE3B		11	10	1403	0.7%	No
GCNT4		5	5	756	0.7%	No
ZDHHC3		4	4	1116	0.4%	No
FKBP11		1	1	507	0.2%	No
FAM13B		16	16	1611	1.0%	No
KCNK9		9	9	1554	0.6%	No
REEP2		1	1	190	0.5%	No
FAM53C		4	4	1058	0.4%	No
ARMCX1		9	8	1242	0.6%	No
AP1S3		1	1	507	0.2%	No
SLC27A6		1	1	122	0.8%	No
GBGT1		9	9	1554	0.6%	No
USP50		4	4	825	0.5%	No
SNX24		3	3	179	1.7%	No
KRTAP19-2		1	1	239	0.4%	No
GIT1		8	8	1454	0.6%	No
KRTAP6-3		3	3	388	0.8%	No
BZW2		1	1	27	3.7%	No
KRTAP6-1		4	4	762	0.5%	No
SLC6A16		20	12	1454	0.8%	No
KRTAP19-7		1	1	239	0.4%	No
KRTAP19-6		5	5	1142	0.4%	No
KRTAP19-5		1	1	216	0.5%	No
TMPRSS9		9	9	947	1.0%	No
KRTAP19-4		1	1	239	0.4%	No
OSTM1		1	1	216	0.5%	No
TLR8		8	7	1026	0.7%	No
DCPS		6	6	825	0.7%	No
SLC22A17		1	1	180	0.6%	No
GASK1B		4	4	216	1.9%	No
KRCC1		1	1	216	0.5%	No
NME8		8	6	947	0.6%	No
PHF21A		2	2	338	0.6%	No
RSRC1		5	5	426	1.2%	No
GLT6D1		7	7	708	1.0%	No
CCDC178		16	16	1481	1.1%	No
ANKRD30B		16	16	1454	1.1%	No
KRTAP13-2		1	1	180	0.6%	No
IGKV1-39		3	3	419	0.7%	No
ATP9B		4	4	629	0.6%	No
MEX3C		6	6	1048	0.6%	No
WAC		11	11	1432	0.8%	No
CPSF2		5	5	808	0.6%	No
AMZ2		3	3	629	0.5%	No
PAPLN		15	14	1238	1.1%	No
SPG21		2	2	338	0.6%	No
ARL6IP4		2	2	361	0.6%	No
EBF2		13	13	1454	0.9%	No
WDR64		13	12	1511	0.8%	No
MFSD14A		7	6	819	0.7%	No
STK33		14	12	1104	1.1%	No
OSR2		6	6	1146	0.5%	No
PLEKHA3		1	1	216	0.5%	No
SPANXD		3	3	470	0.6%	No
AASDH		6	6	1142	0.5%	No
PHACTR4		5	5	672	0.7%	No
TMEM42		1	1	190	0.5%	No
BMERB1		2	2	57	3.5%	No
IGKV1-12		1	1	180	0.6%	No
ZNF771		5	5	338	1.5%	No
SPTBN5		24	18	1454	1.2%	No
NGRN		1	1	216	0.5%	No
PRR16		5	5	947	0.5%	No
DACT1		5	4	318	1.3%	No
MS4A4A		3	3	762	0.4%	No
YJEFN3		1	1	216	0.5%	No
CAPRIN2		5	5	708	0.7%	No
BRD9		5	5	933	0.5%	No
TMEM205		4	4	586	0.7%	No
GRAMD2B		3	3	506	0.6%	No
CSRNP1		7	7	1454	0.5%	No
ZSCAN18		4	4	395	1.0%	No
AACS		2	2	687	0.3%	No
KCTD14		4	4	845	0.5%	No
ZBTB10		8	8	1332	0.6%	No
DLK2		3	3	149	2.0%	No
PDCL2		3	3	723	0.4%	No
NLRP11		12	11	1200	0.9%	No
IGKV3-7		1	1	190	0.5%	No
CRNKL1		14	14	1554	0.9%	No
SAPCD2		6	4	1093	0.4%	No
ZBTB7A		2	2	338	0.6%	Yes
ZNF865		3	3	338	0.9%	No
FZR1		4	4	528	0.8%	Yes
KLC4		10	10	1215	0.8%	No
KLRF1		2	2	607	0.3%	No
TAOK3		13	13	1332	1.0%	No
TRIM41		7	7	1184	0.6%	No
ANTKMT		1	1	122	0.8%	No
HSD11B1L		2	2	122	1.6%	No
DDRGK1		3	3	845	0.4%	No
FUNDC2		5	5	774	0.6%	No
SPANXC		1	1	507	0.2%	No
PEAK3		2	2	396	0.5%	No
MRPS34		3	3	455	0.7%	No
IGKV2-28		3	3	609	0.5%	No
RASL11B		4	4	629	0.6%	No
LRRC61		2	2	122	1.6%	No
ZNF699		3	3	564	0.5%	No
IGKV2-24		2	2	429	0.5%	No
TEX45		3	3	629	0.5%	No
ZNF117		3	3	438	0.7%	No
KRT76		7	7	947	0.7%	No
GLB1L2		4	4	368	1.1%	No
RHOT2		3	3	338	0.9%	No
ACVR1C		10	9	1279	0.7%	No
KBTBD12		3	3	518	0.6%	No
PRSS35		9	9	1280	0.7%	No
DNTTIP1		3	3	729	0.4%	No
DIRC1		1	1	507	0.2%	No
SBSN		9	7	1092	0.6%	No
PRICKLE2		10	10	1332	0.8%	No
